sentence,language
"Hello, do you know what time the movie is tonight?",english
I am calling to make reservations,english
I would like to know if it is at all possible to check in,english
What time does the swimming pool open?,english
Where is the games room?,english
We must call the police.,english
How many pupils are there in your school?,english
"Twenty litres of unleaded, please.",english
Is it near here?,english
Do I have to change?,english
Which counter do I go to to change money?,english
"I would like two postcards, please.",english
There was a big explosion.,english
Where is the television room?,english
Where's the nearest railway station?,english
The storms caused flooding.,english
Where is the duty free shop?,english
I witnessed it happening.,english
"I would like two postcards, please.",english
How about going to the cinema?,english
"Musk was born in Pretoria, South Africa, and briefly attended the University of Pretoria before immigrating to Canada at age 18, acquiring citizenship through his Canadian-born mother. Two years later, he matriculated at Queen's University in Kingston, Ontario. Musk later transferred to the University of Pennsylvania, and received bachelor's degrees in economics and physics there. He moved to California in 1995 to attend Stanford University. However, Musk dropped out after two days and, with his brother Kimbal, co-founded online city guide software company Zip2. The startup was acquired by Compaq for $307 million in 1999, and with $12 million of the money he made, that same year Musk co-founded X.com, a direct bank. X.com merged with Confinity in 2000 to form PayPal.",english
Où est la boulangerie?,french
Je voudrais une boîte de chocolates.,french
Y a-t-il un autre hôtel près d'ici?,french
"Vérifiez la batterie, s'il vous plaît.",french
La banque ouvre à quelle heure?,french
Est-ce que je peux l'écouter?,french
Vous devez faire une déclaration de perte.,french
Combien des élèves y a-t-il dans votre collège?,french
Est-ce qu-il ya un car qui va à l'aéroport?,french
Nous voudrions rester jusqu'à Dimanche prochain.,french
Je ne comprends pas.,french
Voici une ordonnance pour des comprimés.,french
Je n'ai qu'un billet de cinquante francs.,french
À quelle heure commence le dernière séance?,french
Faut-il changer?,french
Il n'avait pas la priorité.,french
Puis-je prendre les places à l'avance?,french
Elle a trente et un ans.,french
"Pour aller à la pharmacie, s'il vous plaît?",french
"Voulez-vous me peser ce colis, s'il vous plaît.",french
"Musk est né à Pretoria, en Afrique du Sud, et a brièvement fréquenté l'Université de Pretoria avant d'immigrer au Canada à 18 ans, acquérant la citoyenneté par l'intermédiaire de sa mère née au Canada. Deux ans plus tard, il s'est inscrit à l'Université Queen's à Kingston, en Ontario. Musk a ensuite été transféré à l'Université de Pennsylvanie et y a obtenu une licence en économie et en physique. Il a déménagé en Californie en 1995 pour fréquenter l'Université de Stanford. Cependant, Musk a abandonné après deux jours et, avec son frère Kimbal, a cofondé la société de logiciels de guides urbains en ligne Zip2. La startup a été acquise par Compaq pour 307 millions de dollars en 1999, et avec 12 millions de dollars de l'argent qu'il a gagné, la même année, Musk a cofondé X.com, une banque directe. X.com a fusionné avec Confinity en 2000 pour former PayPal.",french
"Ciao, ti va di andare al cinema?",italian
Mi sai dire quando aprono il negozio?,italian
Quando c'è l'ultimo autobus?,italian
Lo posso provare addosso?,italian
C'è una presa elettrica per il nostro caravan?,italian
Vorrei una scatola di cioccolatini.,italian
Non e' stata colpa mia.,italian
Sono molto scarso in fisica.,italian
Vorrei del vino bianco.,italian
"Me lo puo' spiegare, per piacere.",italian
Vorrei chiamare a spese del ricevente.,italian
Ho perso il mio passaporto.,italian
Posso avere i biglietti del cinema per favore?,italian
Vorrei un pacchetto di biscotti.,italian
Quali materie studi (studia)?,italian
Quanto frequenti sono gli autobus?,italian
A che ora sara' la prossima raccolta?,italian
Vorrei prenotare un posto.,italian
"Per favore, quanto costa spedire una lettera in Germania?",italian
Mio padre e' un programmatore.,italian
"Musk è nato a Pretoria, in Sud Africa, e ha frequentato brevemente l'Università di Pretoria prima di immigrare in Canada all'età di 18 anni, acquisendo la cittadinanza attraverso la madre canadese. Due anni dopo, si iscrisse alla Queen's University di Kingston, Ontario. Successivamente Musk si trasferì all'Università della Pennsylvania e lì conseguì la laurea in economia e fisica. Si è trasferito in California nel 1995 per frequentare la Stanford University. Tuttavia, Musk abbandonò dopo due giorni e, con suo fratello Kimbal, co-fondò la società di software di guida online della città Zip2. La startup fu acquisita da Compaq per 307 milioni di dollari nel 1999, e con 12 milioni di dollari guadagnati, quello stesso anno Musk co-fondò X.com, una banca diretta. X.com si è fusa con Confinity nel 2000 per formare PayPal.",italian
